x
Smp_149610,4.91,93.17
Smp_172980,6.84,80.14
Smp_070360,6.46,61.54
Smp_247340,5.33,60.36
Smp_084890,2.84,59.7
Smp_181390,3.69,56.54
Smp_059170,-3.35,51.74
Smp_132660,4.61,50.4
Smp_242080,-3.17,50.4
Smp_212550,2.94,48.19
Smp_150220,-2.67,47.68
Smp_166560,5.02,45.56
Smp_007670,4.37,45.18
Smp_058160,4.98,44.12
Smp_038030,2.68,43.85
Smp_054010,5.32,43.62
Smp_171020,-2.58,43.49
Smp_145490,7.45,43.4
Smp_128480,3.1,43.2
Smp_154030,2.83,42.42
Smp_245570,3.64,41.91
Smp_186940,2.77,41.6
Smp_035210,-3.28,41.44
Smp_146810,4.58,40.52
Smp_137170,-3.07,39.24
Smp_063520,3.37,39.22
Smp_244450,-2.62,39.11
Smp_037960,-2.27,39.05
Smp_137460,5.87,38.57
Smp_154830,2.83,38.56
Smp_049150,2.21,38.49
Smp_245320,-2.23,38.47
Smp_026400,3.81,38.45
Smp_143410,-2.67,37.58
Smp_013540,6.8,36.89
Smp_132070,-2.56,36.89
Smp_057530,-2.88,36.86
Smp_173150,4.72,36.77
Smp_135020,2.86,36.64
Smp_172830,4.77,36.62
Smp_246040,3.01,36.62
Smp_244360,-3.62,36.57
Smp_148390,7.12,36.34
Smp_011870,6.39,36.29
Smp_176930,-3.36,35.91
Smp_145240,3.55,35.58
Smp_196090,-3.11,35.31
Smp_129960,5.05,35.05
Smp_157080,3.12,34.65
Smp_248100,2.84,34.58
Smp_022450,-3.61,34.52
Smp_041280,-2.63,33.87
Smp_179710,3.9,33.47
Smp_174580,2.13,32.82
Smp_176540,-2.47,32.67
Smp_198930,-2.75,32.53
Smp_145210,-3.04,32.17
Smp_154390,5.07,32.13
Smp_245840,-3.43,32.01
Smp_197640,-2.56,31.75
Smp_084090,-2.51,31.71
Smp_074710,5.2,31.6
Smp_132740,-2.21,31.59
Smp_080360,5.81,31.5
Smp_121580,-2.54,31.49
Smp_141830,-2.92,31.32
Smp_000400,5.87,31.22
Smp_000300,-2.14,30.54
Smp_063560,1.98,29.93
Smp_154910,2.65,29.92
Smp_047620,2.48,29.66
Smp_057360,-2.46,29.59
Smp_151160,6.05,29.56
Smp_132700,-3.36,29.53
Smp_069240,-2.87,29.5
Smp_182620,-2.01,29.44
Smp_246770,6.6,29.02
Smp_000340,3.67,28.95
Smp_064430,-2.71,28.95
Smp_245270,2.63,28.89
Smp_164760,-2.24,28.84
Smp_160700,2.2,28.83
Smp_126500,-2.14,28.79
Smp_042340,-3.03,28.68
Smp_089240,1.75,28.3
Smp_076320,2.79,28.18
Smp_147430,-2.2,28.11
Smp_095350,5.05,28.06
Smp_242760,-2.51,27.98
Smp_135420,-2.38,27.96
Smp_142880,-2.24,27.95
Smp_214260,2.86,27.95
Smp_038440,-2.77,27.86
Smp_137160,1.85,27.5
Smp_170030,-1.91,27.25
Smp_135140,-3.04,27.18
Smp_154600,-2.48,27.07
Smp_059670,-2.13,26.91
Smp_151280,2.24,26.85
Smp_175560,5.29,26.71
Smp_168730,-2.58,26.67
Smp_196950,3.63,26.45
Smp_155290,-2.34,26.42
Smp_267260,3.08,26.38
Smp_003440,-3.31,26.31
Smp_140720,4.37,26.15
Smp_266920,-2.88,26.15
Smp_068280,-2.3,25.78
Smp_139100,-1.87,25.51
Smp_156540,-3.68,25.47
Smp_245680,-2.1,25.42
Smp_075870,1.75,25.41
Smp_105340,-3.72,25.14
Smp_005350,-2.57,25.12
Smp_164400,5.76,25.1
Smp_152740,2.22,25.07
Smp_139720,2.32,25.05
Smp_034680,5.11,25.03
Smp_170760,-2.48,24.91
Smp_241950,-2.39,24.71
Smp_157310,-4.09,24.68
Smp_191310,-2.38,24.63
Smp_056700,2.88,24.6
Smp_132540,-3.17,24.54
Smp_020130,-2.86,24.44
Smp_158740,2.27,24.43
Smp_151310,-2.58,24.35
Smp_135210,-2.33,24.3
Smp_124540,-2.32,24.17
Smp_159780,-2.06,24.11
Smp_212310,1.94,24.09
Smp_143970,3.56,24.03
Smp_138600,-2.52,24.03
Smp_171190,-2.96,24.03
Smp_035180,-2.38,23.98
Smp_176000,1.98,23.91
Smp_212090,3.17,23.76
Smp_157240,-2.74,23.67
Smp_135120,1.92,23.55
Smp_129060,-2.57,23.51
Smp_246600,-2.39,23.46
Smp_147790,-2.7,23.33
Smp_144160,1.9,23.27
Smp_140520,-1.92,23.14
Smp_242240,-2.24,23.13
Smp_153700,-2.31,23.12
Smp_131840,-1.97,23.06
Smp_012780,-1.77,23.04
Smp_144050,-2.63,23.01
Smp_144590,-2.25,22.9
Smp_243980,-2.83,22.89
Smp_098550,-2.44,22.89
Smp_134600,4.13,22.77
Smp_087320,3.37,22.72
Smp_084780,-4.07,22.6
Smp_245140,-3.78,22.58
Smp_200520,-4.35,22.58
Smp_101820,2.08,22.58
Smp_058690,2.36,22.53
Smp_059570,-3.2,22.48
Smp_121660,-2.29,22.43
Smp_012930,2.32,22.36
Smp_245210,-2.53,22.31
Smp_054610,1.84,22.07
Smp_043110,-2.32,21.96
Smp_134180,-2,21.95
