id,lu2016,meta
Smp_000020,-0.4446,-0.549359534989933
Smp_000030,-0.8099,-0.891440818678059
Smp_000050,1.6083,1.43121845637916
Smp_000070,-1.0778,-1.17060749792191
Smp_000090,3.1376,3.04191200164909
Smp_000110,-1.8540,-1.92786368501267
Smp_000150,-0.8990,-0.984306714480623
Smp_000160,-4.8287,-2.94445139923239
Smp_000190,-0.9039,-0.937055629641072
Smp_000200,-1.0840,-0.921541246666096
Smp_000240,-0.7953,-0.891404188911794
Smp_000260,1.0501,0.962854474122591
Smp_000280,3.9175,3.63499553390529
Smp_000290,4.9580,6.38049750508168
Smp_000300,3.4755,3.29376038816128
Smp_000320,3.0626,2.75751076809279
Smp_000430,3.6046,3.35481659653891
Smp_000480,-1.8878,-1.97768773059747
Smp_000510,1.2388,1.1007211912677
Smp_000580,8.6738,7.973195784712
Smp_000600,-1.7947,-1.86091379470387
Smp_000650,0.5990,0.489581162579044
Smp_000660,3.4409,3.31449887160935
Smp_000670,2.0479,1.93880766866019
Smp_000680,-0.9385,-1.04263505446624
Smp_000700,-0.8057,-0.778354613496518
Smp_000710,-0.9006,-1.01190065854402
Smp_000790,1.6805,1.65648795109572
Smp_000810,-0.9230,-0.978074989423664
Smp_000820,1.9791,1.80191419269578
Smp_000850,-1.5396,-1.72726658427661
Smp_000880,-1.5232,-1.61241743894413
Smp_000910,6.5848,6.29555978586328
Smp_000980,0.6583,0.555165035226105
Smp_001020,-1.5696,-1.56167595548382
Smp_001040,1.1807,1.06731214776243
Smp_001070,2.7280,2.16083914624553
Smp_001080,2.5482,2.43993055180334
Smp_001100,4.2758,3.87705438271465
Smp_001160,9.2802,8.11992120285571
Smp_001170,-1.3679,-1.47095613425267
Smp_001210,-0.9710,-1.10946845543399
Smp_001360,-0.7022,-0.777098618761308
Smp_001390,1.0616,0.947481563863524
Smp_001420,1.0010,0.982358696554172
Smp_001500,-0.8272,-0.93995492457626
Smp_001560,7.3155,6.99121574502752
Smp_001610,6.2754,6.05280330713703
Smp_001640,-1.7295,-1.81097648506383
Smp_001830,-1.4106,-1.52270347790048
Smp_001950,2.5114,2.39200175507321
Smp_002010,-1.5795,-1.69174448650615
Smp_002080,-2.4174,-2.52192833211881
Smp_002100,-1.3724,-1.37156579647148
Smp_002180,-1.5913,-1.70264010202236
Smp_002190,-0.6930,-0.765700541726447
Smp_002230,-1.2041,-1.27351327020506
Smp_002410,-1.2907,-1.39107669359085
Smp_002550,-0.8630,-0.966881140571105
Smp_002870,-1.3061,-1.37949417897417
Smp_002880,-1.2236,-1.3251910658682
Smp_002920,-1.1123,-1.24342221294997
Smp_002930,-4.6761,-4.74572027835689
Smp_002950,4.1714,3.2027606200332
Smp_002960,-1.2679,-1.30348422774833
Smp_003000,-1.4479,-1.54158918851275
Smp_003190,4.7897,4.62748844873546
Smp_003230,1.3167,1.26692366178735
Smp_003270,0.8270,0.725665578282469
Smp_003330,1.7515,1.63320700967467
Smp_003340,-1.3894,-1.44380035357981
Smp_003410,-2.0303,-2.13605680890896
Smp_003770,1.6156,1.51353919466007
Smp_003860,-0.7894,-0.863702244369513
Smp_003900,4.8660,4.65540896990372
Smp_003930,7.8002,7.47797667732571
Smp_003970,-2.3553,-2.44264379610508
Smp_004000,-1.1616,-1.25160522621933
Smp_004040,-0.6588,-0.693361326490119
Smp_004060,-1.5816,-1.65674488739337
Smp_004070,3.0650,2.75800408811515
Smp_004080,-0.5912,-0.698811322027975
Smp_004120,-0.6273,-0.687309032589454
Smp_004160,6.3796,6.18801746788861
Smp_004170,-1.9460,-1.94402136848823
Smp_004220,-0.7560,-0.841243484553975
Smp_004310,-1.0751,-1.14801286881883
Smp_004350,1.9893,1.89460452349068
Smp_004420,1.1928,1.27104428941283
Smp_004470,-0.9909,-1.0761652710232
Smp_004480,-0.7977,-0.883138634655042
Smp_004600,-0.6640,-0.762571120992028
Smp_004630,-1.4012,-1.330192761369
Smp_004640,-1.0891,-1.19138342329607
Smp_004690,10.1800,9.35702721988214
Smp_004730,3.2942,3.13258329034951
Smp_004820,-1.5376,-1.63877297668544
Smp_004910,-0.7836,-0.877545237032218
Smp_004940,-2.0697,-2.17375330952339
Smp_004990,-1.1499,-1.2369916439445
Smp_005000,1.5928,1.51602761399204
Smp_005020,-1.2218,-1.26383157140878
Smp_005070,0.6429,0.576378541874524
Smp_005080,-1.6133,-1.79590994481537
Smp_005140,5.0427,4.88724418441054
Smp_005180,-1.0170,-1.12289104067111
Smp_005230,0.8495,0.746951556048032
Smp_005280,-2.7961,-2.88880054025458
Smp_005290,-0.9928,-1.07625994397845
Smp_005330,-0.5203,-0.637867730116793
Smp_005720,4.3378,4.0607105757221
Smp_005740,5.8614,2.80956060734209
Smp_005880,1.4400,1.32605342911603
Smp_005910,0.7557,0.657992631205497
Smp_006000,-1.1218,-1.26371640013647
Smp_006040,2.7437,2.6829538116916
Smp_006190,0.6017,0.496924989060663
Smp_006290,0.5571,0.539216129691637
Smp_006340,1.1018,0.972795359700305
Smp_006390,-1.6866,-1.79213264165358
Smp_006440,-1.8282,-1.91059583246667
Smp_006550,-0.8690,-0.93819883593689
Smp_006630,-1.3585,-1.45468458537107
Smp_006690,-0.6449,-0.719885743503611
Smp_006700,-0.4512,-0.56199910785765
Smp_006730,1.2839,1.21096525850663
Smp_006840,-0.6676,-0.777337807100653
Smp_006850,-0.9620,-1.043096537569
Smp_006860,1.3249,1.19946300332869
Smp_006920,-0.6750,-1.19236287501706
Smp_006930,1.4867,1.4459320639492
Smp_006970,2.5066,2.16928559823069
Smp_006990,-0.5212,-0.62960073887887
Smp_007000,-0.9289,-0.951260362404339
Smp_007180,-0.5970,-0.685005425407232
Smp_007190,-0.9795,-1.09212673316524
Smp_007270,1.1737,1.02679313612664
Smp_007290,1.3274,1.14342451931357
Smp_007450,2.2437,2.15360354725081
Smp_007510,-1.0071,-1.10593134148409
Smp_007540,-1.2180,-1.30273707177421
Smp_007670,10.5136,9.69338667731636
Smp_007690,2.3415,2.07272729323881
Smp_007760,2.6506,2.48797026832709
Smp_007900,-1.8325,-1.93625303215572
Smp_008140,-1.5446,-1.49803613687085
Smp_008230,-0.4469,-0.5397299226881
Smp_008260,-0.5255,-0.630185989607964
Smp_008290,-0.6737,-0.732345501891533
Smp_008310,-1.0043,-1.12145128211042
Smp_008340,0.9490,0.794469408476659
Smp_008360,-0.6983,-0.794304996926354
Smp_008450,2.5677,2.48415337965884
Smp_008490,2.2479,2.08306596254101
Smp_008500,-0.6557,-0.764936165754937
Smp_008545,-1.2370,-1.34298322612299
Smp_008580,-0.5674,-0.645414778023265
Smp_008610,0.7372,0.712090962123537
Smp_008620,1.5083,1.46535799475025
Smp_008660,-1.7968,-1.90709574098105
Smp_008770,-1.1870,-1.31606350398238
Smp_008860,1.1675,1.16868641105579
Smp_009030,-0.6134,-0.721995306217212
Smp_009070,-0.6952,-0.774733239547101
Smp_009150,-1.3705,-1.47899685668501
Smp_009300,-1.2645,-1.34069366108884
Smp_009340,-0.6191,-0.6714685674986
Smp_009400,-0.7479,-0.837897469835119
Smp_009420,-1.6242,-1.68976601584182
Smp_009430,-1.1197,-1.26958301082146
Smp_009520,-0.5522,-0.653784745099468
Smp_009530,-0.7106,-0.735306253323582
Smp_009550,1.0465,0.960398176460658
Smp_009560,0.7886,0.677590164650608
Smp_009630,10.8340,8.91370405321859
Smp_009690,-0.8342,-0.932256525235978
Smp_009800,6.1084,5.71884270300499
Smp_009830,-0.5847,-0.686752680314737
Smp_010100,0.7565,0.650408909334517
Smp_010110,-0.5321,-0.639312687890501
Smp_010230,1.0814,0.97424075291533
Smp_010250,-3.0476,-3.13159353961855
Smp_010370,1.5724,1.50923072413274
Smp_010400,-1.3225,-1.42740391518714
Smp_010450,12.9614,11.1731088356341
Smp_010670,2.3698,2.20734366382242
Smp_010710,-0.7950,-0.878085612898654
Smp_010770,1.8017,1.72409929033816
Smp_010930,-0.9116,-1.02493641962244
Smp_011000,0.9579,0.842359651004417
Smp_011010,-0.9678,-1.06603544694274
Smp_011120,-0.7925,-0.891915676351409
Smp_011150,-0.9154,-0.999861470606929
Smp_011560,1.3281,1.24560974677355
Smp_011640,0.8822,0.837958876778823
Smp_011660,1.5319,1.43142642244203
Smp_011710,0.9854,0.878090659770401
Smp_011740,3.4344,3.30697596065093
Smp_011830,1.2042,0.997890885126366
Smp_011870,-10.2960,-10.1938169860546
Smp_011980,0.5175,0.434733981893488
Smp_011990,2.2160,2.11029318577427
Smp_012010,-0.7073,-0.844583858260974
Smp_012150,0.9383,0.832393123944665
Smp_012200,-0.9196,-1.03898247756884
Smp_012340,-0.7223,-0.835310582408192
Smp_012350,-1.6954,-1.75677073681692
Smp_012400,-2.3566,-2.3579950454273
Smp_012440,-1.8485,-1.74804599669557
Smp_012450,-0.9245,-1.0133179168656
Smp_012460,-1.0292,-1.05326250592172
Smp_012470,-0.6027,-0.706087053808933
Smp_012530,-1.0906,-1.19720783153387
Smp_012540,0.7555,0.651576235235102
Smp_012580,3.7981,3.60512071207185
Smp_012670,2.5141,2.32137868077389
Smp_012690,1.2838,1.17314009103424
