id,logfc,fdr
Smp_186980,-3.62031575129638,0.05
Smp_160500,-3.10831015633431,0.289972899729
Smp_160490,1.25,0.06
Smp_160480,0,0.999489795918367
Smp_160470,-3.59798966181911,0.0994594594594595
Smp_160460,0,0.998980112187659
Smp_160440,-2.18663785907425,0.01913746630728
Smp_160430,-0.98725395603624,0.989247311827957
Smp_160410,0.05,0.8470948012232
Smp_092950,0.28,0.997962302598064
Smp_158440,-0.48,0.997454175152749
Smp_067090,-0.52169511199806,0.986595174262735
Smp_067060,0.66,0.6946564885496
Smp_103610,0.04,0.96439471007121
Smp_179950,0.38,0.5932892730046
